Sample;Sampling_date;Sampling_site;Ct
QC_02_cpTP24h_Raw;2021-03-09;02-Int_West;37.3789109683502
QC_01_cpTP24h_Raw;2021-03-10;01-Int_East;36.4205869063617
QC_02_cpTP24h_Raw;2021-03-10;02-Int_West;36.6434797165085
QC_01_cpTP24h_Raw;2021-03-11;01-Int_East;35.8002381895249
QC_02_cpTP24h_Raw;2021-03-11;02-Int_West;36.4909996211715
QC_01_cpTP24h_Raw;2021-03-12;01-Int_East;37.8919859580906
QC_02_cpTP24h_Raw;2021-03-12;02-Int_West;37.5382744032036
QC_03-1_cpTP24h_Raw;2021-03-12;03.1-CHSLD_Charlesbourg_BeforePump;39.8826458266112
QC_01_cpTP24h_Raw;2021-03-13;01-Int_East;37.1359056373202
QC_02_cpTP24h_Raw;2021-03-13;02-Int_West;37.1089442706114
QC_03-1_cpTP24h_Raw;2021-03-13;03.1-CHSLD_Charlesbourg_BeforePump;41.412629783671
QC_01_cpTP24h_Raw;2021-03-14;01-Int_East;35.9695028294573
QC_02_cpTP24h_Raw;2021-03-14;02-Int_West;39.48742571192
QC_03-1_cpTP24h_Raw;2021-03-14;03.1-CHSLD_Charlesbourg_BeforePump;41.0568063307572
QC_01_cpTP24h_Raw;2021-03-15;01-Int_East;34.437692473499
QC_02_cpTP24h_Raw;2021-03-15;02-Int_West;34.8192057546981
QC_01_cpTP24h_Raw;2021-03-16;01-Int_East;33.7704177842306
QC_02_cpTP24h_Raw;2021-03-16;02-Int_West;34.2948966499698
QC_01_cpTP24h_Raw;2021-03-17;01-Int_East;33.6415125993852
QC_02_cpTP24h_Raw;2021-03-17;02-Int_West;34.1796089246309
QC_01_cpTP24h_Raw;2021-03-18;01-Int_East;33.7012732492238
QC_02_cpTP24h_Raw;2021-03-18;02-Int_West;33.9551353121391
QC_01_cpTP24h_Raw;2021-03-19;01-Int_East;32.9360417964344
QC_02_cpTP24h_Raw;2021-03-19;02-Int_West;33.9916473368166
QC_01_cpTP24h_Raw;2021-03-20;01-Int_East;33.6322167985028
QC_02_cpTP24h_Raw;2021-03-20;02-Int_West;34.1571382394381
QC_01_cpTP24h_Raw;2021-03-21;01-Int_East;33.8562790732083
QC_02_cpTP24h_Raw;2021-03-21;02-Int_West;34.0727742836675
QC_01_cpTP24h_Raw;2021-03-22;01-Int_East;34.173748955025
QC_02_cpTP24h_Raw;2021-03-22;02-Int_West;35.706595033352
QC_01_cpTP24h_Raw;2021-03-23;01-Int_East;42.391
QC_02_cpTP24h_Raw;2021-03-23;02-Int_West;42.391
QC_01_cpTP24h_Raw;2021-03-23;01-Int_East;34.2185125455403
QC_02_cpTP24h_Raw;2021-03-23;02-Int_West;40.4410079036073
QC_01_cpTP24h_Raw;2021-03-24;01-Int_East;33.0472847124542
QC_02_cpTP24h_Raw;2021-03-24;02-Int_West;30.6058974850529
QC_01_cpTP24h_Raw;2021-03-25;01-Int_East;32.5812590101569
QC_02_cpTP24h_Raw;2021-03-25;02-Int_West;32.6921502544714
QC_01_cpTP24h_Raw;2021-03-26;01-Int_East;33.3113897487451
QC_02_cpTP24h_Raw;2021-03-26;02-Int_West;33.1050390235307
QC_01_cpTP24h_Raw;2021-03-27;01-Int_East;34.5116930408322
QC_02_cpTP24h_Raw;2021-03-27;02-Int_West;33.1594873239684
QC_01_cpTP24h_Raw;2021-03-28;01-Int_East;32.2214387488645
QC_02_cpTP24h_Raw;2021-03-28;02-Int_West;33.4817034281952
QC_01_cpTP24h_Raw;2021-03-29;01-Int_East;33.0332584545349
QC_02_cpTP24h_Raw;2021-03-29;02-Int_West;32.6965461270661
QC_01_cpTP24h_Raw;2021-03-30;01-Int_East;33.8659051615978
QC_02_cpTP24h_Raw;2021-03-30;02-Int_West;32.1569319948646
QC_01_cpTP24h_Raw;2021-03-29;01-Int_East;33.2156181174128
QC_02_cpTP24h_Raw;2021-03-29;02-Int_West;32.9060084092779
QC_01_cpTP24h_Raw;2021-03-30;01-Int_East;32.5185421031764
QC_02_cpTP24h_Raw;2021-03-30;02-Int_West;32.4179725153548
QC_01_cpTP24h_Raw;2021-03-31;01-Int_East;31.9742824267037
QC_02_cpTP24h_Raw;2021-03-31;02-Int_West;31.9016633972607
QC_01_cpTP24h_Raw;2021-04-01;01-Int_East;32.4242661865125
QC_02_cpTP24h_Raw;2021-04-01;02-Int_West;33.0400322182469
QC_01_cpTP24h_Raw;2021-04-02;01-Int_East;32.1835753688855
QC_02_cpTP24h_Raw;2021-04-02;02-Int_West;31.8974223640115
QC_01_cpTP24h_Raw;2021-04-03;01-Int_East;32.2172585429541
QC_02_cpTP24h_Raw;2021-04-03;02-Int_West;29.365726996694
QC_01_cpTP24h_Raw;2021-04-04;01-Int_East;30.5211242641458
QC_02_cpTP24h_Raw;2021-04-04;02-Int_West;32.5338054320119
QC_01_cpTP24h_Raw;2021-04-05;01-Int_East;30.8949995760817
QC_02_cpTP24h_Raw;2021-04-05;02-Int_West;33.1608481885343
QC_04_grb_Raw;2021-04-06;04-Beauport_Charlesbourg;32.9108698056745
QC_05_grb_Raw;2021-04-06;05-Maizerets;30.2238823678413
QC_01_cpTP24h_Raw;2021-04-06;01-Int_East;31.7419137557486
QC_02_cpTP24h_Raw;2021-04-06;02-Int_West;30.4376938596611
QC_03-2_PS_Filter;2021-04-06;03.2-CHSLD_Charlesbourg_FirstManhole;29.7821533178273
QC_03-2_PS_Qtips;2021-04-06;03.2-CHSLD_Charlesbourg_FirstManhole;33.9755879414316
QC_04_grb_Raw;2021-04-07;04-Beauport_Charlesbourg;31.9606264652259
QC_05_grb_Raw;2021-04-07;05-Maizerets;30.4391851717301
QC_01_cpTP24h_Raw;2021-04-07;01-Int_East;30.6518544022622
QC_02_cpTP24h_Raw;2021-04-07;02-Int_West;30.8756688463563
QC_01_cpTP24h_Raw;2021-04-08;01-Int_East;29.9264717481768
QC_02_cpTP24h_Raw;2021-04-08;02-Int_West;30.2594828246276
QC_04_grb_Raw;2021-04-08;04-Beauport_Charlesbourg;30.2187238425247
QC_05_grb_Raw;2021-04-08;05-Maizerets;31.123058924058
QC_01_cpTP24h_Raw;2021-04-07;01-Int_East;30.6767868963471
QC_02_cpTP24h_Raw;2021-04-07;02-Int_West;30.5926635102516
QC_03-2_PS_Filter;2021-04-07;03.2-CHSLD_Charlesbourg_FirstManhole;42.391
QC_01_cpTP24h_Raw;2021-04-08;01-Int_East;30.145776053968
QC_02_cpTP24h_Raw;2021-04-08;02-Int_West;30.3330973806556
QC_05_grb_Raw;2021-04-08;05-Maizerets;30.2171186815329
QC_04_grb_Raw;2021-04-08;04-Beauport_Charlesbourg;29.8901320732952
QC_06.1_PS_Filter;2021-04-08;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;42.391
QC_07.1_PS_Filter;2021-04-08;07.1-Lauberiviere_Parking;42.391
QC_01_cpTP24h_Raw;2021-04-09;01-Int_East;30.3231384791561
QC_02_cpTP24h_Raw;2021-04-09;02-Int_West;30.6799165711916
QC_04_grb_Raw;2021-04-09;04-Beauport_Charlesbourg;29.3584393196214
QC_05_grb_Raw;2021-04-09;05-Maizerets;31.8815025590783
QC_01_cpTP24h_Raw;2021-04-10;01-Int_East;30.148941036574
QC_02_cpTP24h_Raw;2021-04-10;02-Int_West;30.5081017895066
QC_01_cpTP24h_Raw;2021-04-11;01-Int_East;30.8350581275346
QC_02_cpTP24h_Raw;2021-04-11;02-Int_West;42.391
QC_01_cpTP24h_Raw;2021-04-12;01-Int_East;30.890992837789
QC_02_cpTP24h_Raw;2021-04-12;02-Int_West;31.6898965658395
QC_04_grb_Raw;2021-04-12;04-Beauport_Charlesbourg;30.610514187633
QC_05_grb_Raw;2021-04-12;05-Maizerets;29.8297132178868
QC_01_cpTP24h_Raw;2021-04-13;01-Int_East;31.0652405028987
QC_02_cpTP24h_Raw;2021-04-13;02-Int_West;30.7520349976434
QC_04_grb_Raw;2021-04-13;04-Beauport_Charlesbourg;29.7382022782953
QC_05_grb_Raw;2021-04-13;05-Maizerets;30.0309816561021
QC_03-3_PS_Filter;2021-04-12;03.3-CHSLD_Charlesbourg_SecondManhole;31.1183187948756
QC_07.1_PS_Filter;2021-04-12;07.1-Lauberiviere_Parking;32.1690869567483
QC_08_PS_Filter;2021-04-12;08-CHSLD_Saint_Antoine;30.7783781909654
QC_06.1_PS_Filter;2021-04-12;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;29.4823704601388
QC_01_cpTP24h_Raw;2021-04-14;01-Int_East;31.1618138128863
QC_02_cpTP24h_Raw;2021-04-14;02-Int_West;30.9480965867465
QC_04_grb_Raw;2021-04-14;04-Beauport_Charlesbourg;30.5494729262396
QC_05_grb_Raw;2021-04-14;05-Maizerets;31.3380769948225
QC_03-2_PS_Filter;2021-04-14;03.2-CHSLD_Charlesbourg_FirstManhole;42.391
QC_03-3_PS_Filter;2021-04-14;03.3-CHSLD_Charlesbourg_SecondManhole;42.391
QC_06.1_PS_Filter;2021-04-14;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;42.391
QC_07.1_PS_Filter;2021-04-14;07.1-Lauberiviere_Parking;42.391
QC_07.2_PS_Filter;2021-04-14;07.2-Lauberiviere_Pipe_in_0_Floor;42.391
QC_08_PS_Filter;2021-04-14;08-CHSLD_Saint_Antoine;42.391
QC_01_cpTP24h_Raw;2021-04-15;01-Int_East;32.3989453331948
QC_02_cpTP24h_Raw;2021-04-15;02-Int_West;32.5097500025518
QC_04_grb_Raw;2021-04-15;04-Beauport_Charlesbourg;29.2252868586222
QC_05_grb_Raw;2021-04-15;05-Maizerets;30.8712513438789
QC_03-2_PS24h_Filter;2021-04-19;03.2-CHSLD_Charlesbourg_FirstManhole;40.4538015018574
QC_03-3_PS24h_Filter;2021-04-19;03.3-CHSLD_Charlesbourg_SecondManhole;42.391
QC_06.1_PS24h_Filter;2021-04-19;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;39.5898560056915
QC_07.1_PS24h_Filter;2021-04-19;07.1-Lauberiviere_Parking;42.391
QC_07.2_PS24h_Filter;2021-04-19;07.2-Lauberiviere_0Floor;39.8644629049901
QC_08_PS24h_Filter;2021-04-19;08-CHSLD_Saint_Antoine;42.391
QC_09_PS24h_Filter;2021-04-19;09-Squat_Basse-Ville;42.391
QC_03-2_PS48h_Filter;2021-04-16;03.2-CHSLD_Charlesbourg_FirstManhole;42.391
QC_03-3_PS48h_Filter;2021-04-16;03.3-CHSLD_Charlesbourg_SecondManhole;42.391
QC_06.1_PS48h_Filter;2021-04-16;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;42.391
QC_07.1_PS48h_Filter;2021-04-16;07.1-Lauberiviere_Parking;42.391
QC_07.2_PS48h_Filter;2021-04-16;07.2-Lauberiviere_0Floor;39.7531869028491
QC_08_PS48h_Filter;2021-04-16;08-CHSLD_Saint_Antoine;42.391
QC_01_cpTP24h_Raw;2021-04-16;01-Int_East;32.2953987702296
QC_02_cpTP24h_Raw;2021-04-16;02-Int_West;31.7913764650457
QC_04_grb_Raw;2021-04-16;04-Beauport_Charlesbourg;29.3715803386964
QC_05_grb_Raw;2021-04-16;05-Maizerets;32.3356371586707
QC_01_cpTP24h_Raw;2021-04-17;01-Int_East;32.9641380931659
QC_02_cpTP24h_Raw;2021-04-17;02-Int_West;32.2398056963861
QC_04_grb_Raw;2021-04-17;04-Beauport_Charlesbourg;32.0275196524716
QC_05_grb_Raw;2021-04-17;05-Maizerets;32.0166703947093
QC_01_cpTP24h_Raw;2021-04-18;01-Int_East;31.7338085846697
QC_02_cpTP24h_Raw;2021-04-18;02-Int_West;32.5084298851827
QC_04_grb_Raw;2021-04-18;04-Beauport_Charlesbourg;31.5839654701456
QC_05_grb_Raw;2021-04-18;05-Maizerets;31.1481263349714
QC_01_cpTP24h_Raw;2021-04-19;01-Int_East;31.6286538651002
QC_02_cpTP24h_Raw;2021-04-19;02-Int_West;31.5102369820287
QC_04_grb_Raw;2021-04-19;04-Beauport_Charlesbourg;30.8633322592731
QC_05_grb_Raw;2021-04-19;05-Maizerets;28.9463669803165
QC_03-2_PS24h_Filter;2021-04-20;03.2-CHSLD_Charlesbourg_FirstManhole;39.9913156874548
QC_03-3_PS24h_Filter;2021-04-20;03.3-CHSLD_Charlesbourg_SecondManhole;42.391
QC_06.1_PS24h_Filter;2021-04-20;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;42.391
QC_07.1_PS24h_Filter;2021-04-20;07.1-Lauberiviere_Parking;42.391
QC_07.2_PS24h_Filter;2021-04-20;07.2-Lauberiviere_0Floor;42.391
QC_08_PS24h_Filter;2021-04-20;08-CHSLD_Saint_Antoine;42.391
QC_09_PS24h_Filter;2021-04-20;09-Squat_Basse-Ville;42.391
QC_03-2_PS24h_Filter;2021-04-21;03.2-CHSLD_Charlesbourg_FirstManhole;42.391
QC_03-3_PS24h_Filter;2021-04-21;03.3-CHSLD_Charlesbourg_SecondManhole;42.391
QC_06.1_PS24h_Filter;2021-04-21;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;39.5206564310337
QC_07.1_PS24h_Filter;2021-04-21;07.1-Lauberiviere_Parking;42.391
QC_07.2_PS24h_Filter;2021-04-21;07.2-Lauberiviere_0Floor;42.391
QC_08_PS24h_Filter;2021-04-21;08-CHSLD_Saint_Antoine;42.391
QC_09_PS24h_Filter;2021-04-21;09-Squat_Basse-Ville;42.391
QC_01_cpTP24h_Raw;2021-04-20;01-Int_East;31.215047495643
QC_02_cpTP24h_Raw;2021-04-20;02-Int_West;31.4406154532809
QC_04_grb_Raw;2021-04-20;04-Beauport_Charlesbourg;32.5218719795194
QC_05_grb_Raw;2021-04-20;05-Maizerets;33.4386432840341
QC_01_cpTP24h_Raw;2021-04-21;01-Int_East;31.4643400284479
QC_02_cpTP24h_Raw;2021-04-21;02-Int_West;29.3652775436113
QC_04_grb_Raw;2021-04-21;04-Beauport_Charlesbourg;31.3871851757506
QC_05_grb_Raw;2021-04-21;05-Maizerets;31.6417267162092
QC_03-2_PS24h_Filter;2021-04-22;03.2-CHSLD_Charlesbourg_FirstManhole;39.5530302530944
QC_06.1_PS24h_Filter;2021-04-22;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;42.391
QC_07.1_PS24h_Filter;2021-04-22;07.1-Lauberiviere_Parking;42.391
QC_07.2_PS24h_Filter;2021-04-22;07.2-Lauberiviere_0Floor;39.9569107541092
QC_08_PS24h_Filter;2021-04-22;08-CHSLD_Saint_Antoine;42.391
QC_09_PS24h_Filter;2021-04-22;09-Squat_Basse-Ville;42.391
QC_01_cpTP24h_Raw;2021-04-22;01-Int_East;31.2709484734963
QC_02_cpTP24h_Raw;2021-04-22;02-Int_West;30.3763364978823
QC_04_grb_Raw;2021-04-22;04-Beauport_Charlesbourg;31.0770471149622
QC_05_grb_Raw;2021-04-22;05-Maizerets;31.6021967343993
QC_06.1_PS24h_Filter;2021-04-23;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;42.391
QC_07.1_PS24h_Filter;2021-04-23;07.1-Lauberiviere_Parking;42.391
QC_07.2_PS24h_Filter;2021-04-23;07.2-Lauberiviere_0Floor;40.1549480064885
QC_08_PS24h_Filter;2021-04-23;08-CHSLD_Saint_Antoine;40.1167798299087
QC_09_PS24h_Filter;2021-04-23;09-Squat_Basse-Ville;42.391
QC_03-2_PS72h_Filter;2021-04-26;03.2-CHSLD_Charlesbourg_FirstManhole;32.6611550091422
QC_03-3_PS72h_Filter;2021-04-26;03.3-CHSLD_Charlesbourg_SecondManhole;39.4908998455412
QC_06.1_PS72h_Filter;2021-04-26;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;39.748022772057
QC_07.1_PS72h_Filter;2021-04-26;07.1-Lauberiviere_Parking;38.7097280132771
QC_07.2_PS72h_Filter;2021-04-26;07.2-Lauberiviere_0Floor;42.391
QC_08_PS72h_Filter;2021-04-26;08-CHSLD_Saint_Antoine;39.7587526784236
QC_09_PS72h_Filter;2021-04-26;09-Squat_Basse-Ville;42.391
QC_01_cpTP24h_Raw;2021-04-23;01-Int_East;31.8994659254501
QC_02_cpTP24h_Raw;2021-04-23;02-Int_West;30.6675417178768
QC_04_grb_Raw;2021-04-23;04-Beauport_Charlesbourg;31.5391111959115
QC_05_grb_Raw;2021-04-23;05-Maizerets;30.4821189133728
QC_01_cpTP24h_Raw;2021-04-24;01-Int_East;32.9867094709216
QC_02_cpTP24h_Raw;2021-04-24;02-Int_West;30.7753437209605
QC_04_grb_Raw;2021-04-24;04-Beauport_Charlesbourg;31.388226293557
QC_05_grb_Raw;2021-04-24;05-Maizerets;31.2966687060483
QC_01_cpTP24h_Raw;2021-04-25;01-Int_East;31.4949647245257
QC_02_cpTP24h_Raw;2021-04-25;02-Int_West;30.7113312563487
QC_04_grb_Raw;2021-04-25;04-Beauport_Charlesbourg;31.5283185375068
QC_05_grb_Raw;2021-04-25;05-Maizerets;28.1032607254694
QC_01_cpTP24h_Raw;2021-04-26;01-Int_East;32.2966315484941
QC_02_cpTP24h_Raw;2021-04-26;02-Int_West;31.5838205856715
QC_04_grb_Raw;2021-04-26;04-Beauport_Charlesbourg;29.6279293811876
QC_05_grb_Raw;2021-04-26;05-Maizerets;30.5226763026761
QC_03-2_PS24h_Filter;2021-04-27;03.2-CHSLD_Charlesbourg_FirstManhole;42.391
QC_03-3_PS24h_Filter;2021-04-27;03.3-CHSLD_Charlesbourg_SecondManhole;42.391
QC_06.1_PS24h_Filter;2021-04-27;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;42.391
QC_07.1_PS24h_Filter;2021-04-27;07.1-Lauberiviere_Parking;39.9488551523743
QC_08_PS24h_Filter;2021-04-27;08-CHSLD_Saint_Antoine;42.391
QC_09_PS24h_Filter;2021-04-27;09-Squat_Basse-Ville;42.391
QC_03-2_PS24h_Filter;2021-04-28;03.2-CHSLD_Charlesbourg_FirstManhole;42.391
QC_03-3_PS24h_Filter;2021-04-28;03.3-CHSLD_Charlesbourg_SecondManhole;36.4326006550308
QC_06.1_PS24h_Filter;2021-04-28;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;42.391
QC_07.1_PS24h_Filter;2021-04-28;07.1-Lauberiviere_Parking;35.8211708581761
QC_07.2_PS24h_Filter;2021-04-28;07.2-Lauberiviere_Pipe_in_0_Floor;35.2116413713532
QC_08_PS24h_Filter;2021-04-28;08-CHSLD_Saint_Antoine;42.391
QC_09_PS24h_Filter;2021-04-28;09-Squat_Basse-Ville;42.391
QC_01_cpTP24h_Raw;2021-04-27;01-Int_East;32.2944399516178
QC_02_cpTP24h_Raw;2021-04-27;02-Int_West;31.8543833307813
QC_04_grb_Raw;2021-04-27;04-Beauport_Charlesbourg;31.4356767962234
QC_05_grb_Raw;2021-04-27;05-Maizerets;31.1774602708339
QC_01_cpTP24h_Raw;2021-04-28;01-Int_East;32.7821633165475
QC_02_cpTP24h_Raw;2021-04-28;02-Int_West;32.4292139277429
QC_04_grb_Raw;2021-04-28;04-Beauport_Charlesbourg;31.1439737548913
QC_05_grb_Raw;2021-04-28;05-Maizerets;31.6550870771314
QC_03-2_PS24h_Filter;2021-04-29;03.2-CHSLD_Charlesbourg_FirstManhole;36.462858961048
QC_03-3_PS24h_Filter;2021-04-29;03.3-CHSLD_Charlesbourg_SecondManhole;38.1122078391586
QC_06.1_PS24h_Filter;2021-04-29;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;39.9145569626185
QC_07.1_PS24h_Filter;2021-04-29;07.1-Lauberiviere_Parking;36.7933808269624
QC_07.2_PS24h_Filter;2021-04-29;07.2-Lauberiviere_Pipe_in_0_Floor;39.9011372012738
QC_08_PS24h_Filter;2021-04-29;08-CHSLD_Saint_Antoine;36.8372133730136
QC_09_PS24h_Filter;2021-04-29;09-Squat_Basse-Ville;39.5111041884246
QC_03-2_PS24h_Filter;2021-04-30;03.2-CHSLD_Charlesbourg_FirstManhole;37.3212612868047
QC_03-3_PS24h_Filter;2021-04-30;03.3-CHSLD_Charlesbourg_SecondManhole;40.0701905748945
QC_06.1_PS24h_Filter;2021-04-30;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;42.391
QC_07.1_PS24h_Filter;2021-04-30;07.1-Lauberiviere_Parking;39.6060114543261
QC_07.2_PS24h_Filter;2021-04-30;07.2-Lauberiviere_Pipe_in_0_Floor;39.9555418192772
QC_08_PS24h_Filter;2021-04-30;08-CHSLD_Saint_Antoine;39.808127553713
QC_09_PS24h_Filter;2021-04-30;09-Squat_Basse-Ville;42.391
QC_01_cpTP24h_Raw;2021-04-29;01-Int_East;32.5807334609647
QC_02_cpTP24h_Raw;2021-04-29;02-Int_West;32.2378234835984
QC_04_grb_Raw;2021-04-29;04-Beauport_Charlesbourg;34.5813316880281
QC_05_grb_Raw;2021-04-29;05-Maizerets;31.8709580999734
QC_01_cpTP24h_Raw;2021-04-30;01-Int_East;32.2424257115346
QC_02_cpTP24h_Raw;2021-04-30;02-Int_West;33.011636865533
QC_04_grb_Raw;2021-04-30;04-Beauport_Charlesbourg;30.6912058569157
QC_05_grb_Raw;2021-04-30;05-Maizerets;31.9769469637226
QC_01_cpTP24h_Raw;2021-05-01;01-Int_East;32.475925588923
QC_02_cpTP24h_Raw;2021-05-01;02-Int_West;33.2645175841173
QC_04_grb_Raw;2021-05-01;04-Beauport_Charlesbourg;32.7040631887088
QC_05_grb_Raw;2021-05-01;05-Maizerets;33.3244772982238
QC_01_cpTP24h_Raw;2021-05-02;01-Int_East;31.5857359161736
QC_02_cpTP24h_Raw;2021-05-02;02-Int_West;32.3916263851957
QC_04_grb_Raw;2021-05-02;04-Beauport_Charlesbourg;31.2947315080004
QC_05_grb_Raw;2021-05-02;05-Maizerets;29.6824496984267
QC_03-2_PS72h_Filter;2021-05-03;03.2-CHSLD_Charlesbourg_FirstManhole;36.8126399412842
QC_03-3_PS72h_Filter;2021-05-03;03.3-CHSLD_Charlesbourg_SecondManhole;42.391
QC_06.1_PS72h_Filter;2021-05-03;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;39.7417986367933
QC_07.2_PS72h_Filter;2021-05-03;07.2-Lauberiviere_Pipe_in_0_Floor;39.496433010799
QC_08_PS72h_Filter;2021-05-03;08-CHSLD_Saint_Antoine;42.391
QC_09_PS72h_Filter;2021-05-03;09-Squat_Basse-Ville;42.391
QC_01_cpTP24h_Raw;2021-05-03;01-Int_East;32.3469520511092
QC_02_cpTP24h_Raw;2021-05-03;02-Int_West;31.3016942397679
QC_04_grb_Raw;2021-05-03;04-Beauport_Charlesbourg;32.3731555669662
QC_05_grb_Raw;2021-05-03;05-Maizerets;31.625839750381
QC_03-2_PS24h_Filter;2021-05-04;03.2-CHSLD_Charlesbourg_FirstManhole;42.391
QC_03-3_PS24h_Filter;2021-05-04;03.3-CHSLD_Charlesbourg_SecondManhole;39.3944128885001
QC_06.1_PS24h_Filter;2021-05-04;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;42.391
QC_07.1_PS96h_Filter;2021-05-04;07.1-Lauberiviere_Parking;40.4590175253758
QC_07.2_PS24h_Filter;2021-05-04;07.2-Lauberiviere_Pipe_in_0_Floor;36.2850327078263
QC_08_PS24h_Filter;2021-05-04;08-CHSLD_Saint_Antoine;39.5749457609288
QC_09_PS24h_Filter;2021-05-04;09-Squat_Basse-Ville;39.5086278537765
QC_01_cpFP24h_Raw;2021-05-04;01-Int_East;33.054965518526
QC_02_cpFP24h_Raw;2021-05-04;02-Int_West;32.9901945847956
QC_04_grb_Raw;2021-05-04;04-Beauport_Charlesbourg;33.7372680031806
QC_05_grb_Raw;2021-05-04;05-Maizerets;34.5658768301073
QC_03-2_PS24h_Filter;2021-05-05;03.2-CHSLD_Charlesbourg_FirstManhole;39.2566905781881
QC_03-3_PS24h_Filter;2021-05-05;03.3-CHSLD_Charlesbourg_SecondManhole;38.4075535725996
QC_06.1_PS24h_Filter;2021-05-05;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;40.7948493169831
QC_07.1_PS24h_Filter;2021-05-05;07.1-Lauberiviere_Parking;38.6011300289843
QC_07.2_PS24h_Filter;2021-05-05;07.2-Lauberiviere_Pipe_in_0_Floor;38.385539059289
QC_08_PS24h_Filter;2021-05-05;08-CHSLD_Saint_Antoine;37.4400634338875
QC_09_PS24h_Filter;2021-05-05;09-Squat_Basse-Ville;38.5517304546432
QC_10_PS24h_Filter;2021-05-05;10-HLM_La_Chancelière;36.2739792382256
QC_01_cpFP24h_Raw;2021-05-05;01-Int_East;32.9801291009051
QC_02_cpFP24h_Raw;2021-05-05;02-Int_West;32.0367636268292
QC_04_grb_Raw;2021-05-05;04-Beauport_Charlesbourg;32.0921045991274
QC_05_grb_Raw;2021-05-05;05-Maizerets;30.9814416366299
QC_03-2_PS24h_Filter;2021-05-06;03.2-CHSLD_Charlesbourg_FirstManhole;40.5408278417061
QC_03-3_PS24h_Filter;2021-05-06;03.3-CHSLD_Charlesbourg_SecondManhole;42.391
QC_06.1_PS24h_Filter;2021-05-06;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;41.0892679736453
QC_07.1_PS24h_Filter;2021-05-06;07.1-Lauberiviere_Parking;41.1244883145515
QC_07.2_PS24h_Filter;2021-05-06;07.2-Lauberiviere_Pipe_in_0_Floor;40.6720234039639
QC_08_PS24h_Filter;2021-05-06;08-CHSLD_Saint_Antoine;40.3788460272915
QC_09_PS24h_Filter;2021-05-06;09-Squat_Basse-Ville;37.4750001438774
QC_10_PS24h_Filter;2021-05-06;10-HLM_La_Chancelière;40.4333610424393
QC_03-2_PS24h_Filter;2021-05-07;03.2-CHSLD_Charlesbourg_FirstManhole;42.391
QC_03-3_PS24h_Filter;2021-05-07;03.3-CHSLD_Charlesbourg_SecondManhole;42.391
QC_06.1_PS24h_Filter;2021-05-07;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;41.2445170754435
QC_07.1_PS24h_Filter;2021-05-07;07.1-Lauberiviere_Parking;42.391
QC_07.2_PS24h_Filter;2021-05-07;07.2-Lauberiviere_Pipe_in_0_Floor;39.8257666031396
QC_08_PS24h_Filter;2021-05-07;08-CHSLD_Saint_Antoine;40.4997391066842
QC_09_PS24h_Filter;2021-05-07;09-Squat_Basse-Ville;40.9562871398112
QC_10_PS24h_Filter;2021-05-07;10-HLM_La_Chancelière;42.391
QC_03-2_PS24h_Gauze;2021-05-07;03.2-CHSLD_Charlesbourg_FirstManhole;42.391
QC_03-3_PS24h_Gauze;2021-05-07;03.3-CHSLD_Charlesbourg_SecondManhole;42.391
QC_06.1_PS24h_Gauze;2021-05-07;06.1-CHSLD_Saint_Augustin_Pipe_in_kitchen;42.391
QC_07.1_PS24h_Gauze;2021-05-07;07.1-Lauberiviere_Parking;42.391
QC_07.2_PS24h_Gauze;2021-05-07;07.2-Lauberiviere_Pipe_in_0_Floor;42.391
QC_08_PS24h_Gauze;2021-05-07;08-CHSLD_Saint_Antoine;42.391
QC_09_PS24h_Gauze;2021-05-07;09-Squat_Basse-Ville;42.391
QC_10_PS24h_Gauze;2021-05-07;10-HLM_La_Chancelière;40.8949045854966
QC_01_cpFP24h_Raw;2021-05-06;01-Int_East;32.4672594519348
QC_02_cpFP24h_Raw;2021-05-06;02-Int_West;33.7910212823337
QC_04_grb_Raw;2021-05-06;04-Beauport_Charlesbourg;30.7499444989601
QC_05_grb_Raw;2021-05-06;05-Maizerets;31.2765701748797
QC_03-2_PS72h_Filter;2021-05-10;03.2-CHSLD_Charlesbourg_FirstManhole;42.391
QC_03-3_PS72h_Filter;2021-05-10;03.3-CHSLD_Charlesbourg_SecondManhole;41.1791510895736
